Merchant_ID,Merchant_Name,Industry,Onboarding_Date
MERCH111,Business_111,Retail,2022-12-31
MERCH112,Business_112,Education,2021-10-18
MERCH113,Business_113,Technology,2024-06-15
MERCH114,Business_114,Education,2023-02-12
MERCH115,Business_115,Technology,2024-02-25
MERCH116,Business_116,Technology,2024-02-08
MERCH117,Business_117,Retail,2022-02-18
MERCH118,Business_118,Healthcare,2022-04-11
MERCH119,Business_119,Healthcare,2023-02-04
MERCH120,Business_120,Technology,2024-03-18
MERCH121,Business_121,Services,2024-05-25
MERCH122,Business_122,Healthcare,2022-01-01
MERCH123,Business_123,Education,2022-03-30
MERCH124,Business_124,Healthcare,2024-03-02
MERCH125,Business_125,Services,2024-06-29
MERCH126,Business_126,Education,2024-02-27
MERCH127,Business_127,Technology,2023-04-05
MERCH128,Business_128,Technology,2021-08-11
MERCH129,Business_129,Healthcare,2023-05-31
MERCH130,Business_130,Retail,2023-12-21
MERCH131,Business_131,Healthcare,2022-03-16
MERCH132,Business_132,Education,2023-12-25
MERCH133,Business_133,Education,2022-03-02
MERCH134,Business_134,Retail,2023-10-06
MERCH135,Business_135,Education,2023-05-13
MERCH136,Business_136,Services,2022-07-04
MERCH137,Business_137,Retail,2024-04-01
MERCH138,Business_138,Technology,2021-12-24
MERCH139,Business_139,Technology,2022-12-19
MERCH140,Business_140,Education,2023-09-17
MERCH141,Business_141,Technology,2024-04-09
MERCH142,Business_142,Retail,2024-04-09
MERCH143,Business_143,Retail,2024-02-24
MERCH144,Business_144,Retail,2021-07-23
MERCH145,Business_145,Technology,2022-07-12
MERCH146,Business_146,Healthcare,2022-09-25
MERCH147,Business_147,Education,2024-06-17
MERCH148,Business_148,Education,2023-04-21
MERCH149,Business_149,Retail,2022-10-16
MERCH150,Business_150,Healthcare,2023-01-10
MERCH151,Business_151,Retail,2023-11-08
MERCH152,Business_152,Retail,2023-10-23
MERCH153,Business_153,Technology,2022-11-26
MERCH154,Business_154,Technology,2023-06-30
MERCH155,Business_155,Technology,2023-05-27
MERCH156,Business_156,Services,2023-09-24
MERCH157,Business_157,Retail,2024-04-05
MERCH158,Business_158,Education,2022-10-09
MERCH159,Business_159,Technology,2021-07-31
MERCH160,Business_160,Education,2023-02-04
MERCH161,Business_161,Services,2022-10-16
MERCH162,Business_162,Healthcare,2022-08-07
MERCH163,Business_163,Services,2022-08-12
MERCH164,Business_164,Education,2023-12-07
MERCH165,Business_165,Technology,2023-10-17
MERCH166,Business_166,Healthcare,2021-10-28
MERCH167,Business_167,Retail,2022-02-22
MERCH168,Business_168,Technology,2024-03-03
MERCH169,Business_169,Healthcare,2023-04-18
MERCH170,Business_170,Retail,2021-11-30
MERCH171,Business_171,Services,2022-07-01
MERCH172,Business_172,Healthcare,2022-05-05
MERCH173,Business_173,Healthcare,2022-03-18
MERCH174,Business_174,Healthcare,2023-12-10
MERCH175,Business_175,Services,2023-01-11
MERCH176,Business_176,Services,2024-02-02
MERCH177,Business_177,Technology,2024-06-23
MERCH178,Business_178,Services,2023-03-01
MERCH179,Business_179,Healthcare,2022-12-16
MERCH180,Business_180,Retail,2021-11-24
MERCH181,Business_181,Services,2022-08-15
MERCH182,Business_182,Healthcare,2023-07-19
MERCH183,Business_183,Education,2021-07-22
MERCH184,Business_184,Education,2022-08-27
MERCH185,Business_185,Retail,2022-08-05
MERCH186,Business_186,Technology,2022-11-20
MERCH187,Business_187,Healthcare,2024-05-20
MERCH188,Business_188,Healthcare,2021-10-06
MERCH189,Business_189,Healthcare,2022-01-05
MERCH190,Business_190,Retail,2021-12-11
MERCH191,Business_191,Retail,2024-04-23
MERCH192,Business_192,Technology,2022-10-11
MERCH193,Business_193,Healthcare,2024-02-12
MERCH194,Business_194,Services,2022-03-03
MERCH195,Business_195,Healthcare,2022-09-26
MERCH196,Business_196,Education,2022-03-10
MERCH197,Business_197,Education,2021-08-16
MERCH198,Business_198,Retail,2022-09-26
MERCH199,Business_199,Retail,2024-03-14
MERCH200,Business_200,Retail,2023-11-27
MERCH201,Business_201,Education,2022-10-17
MERCH202,Business_202,Education,2021-07-05
MERCH203,Business_203,Education,2023-05-05
MERCH204,Business_204,Healthcare,2024-03-24
MERCH205,Business_205,Services,2022-03-22
MERCH206,Business_206,Retail,2024-04-04
MERCH207,Business_207,Services,2023-08-24
MERCH208,Business_208,Retail,2023-01-07
MERCH209,Business_209,Healthcare,2024-05-02
MERCH210,Business_210,Education,2022-12-12
MERCH211,Business_211,Retail,2024-01-17
MERCH212,Business_212,Services,2024-03-31
MERCH213,Business_213,Technology,2022-07-18
MERCH214,Business_214,Healthcare,2023-02-18
MERCH215,Business_215,Healthcare,2022-05-27
MERCH216,Business_216,Healthcare,2021-10-07
MERCH217,Business_217,Education,2022-11-28
MERCH218,Business_218,Services,2024-01-09
MERCH219,Business_219,Services,2021-07-15
MERCH220,Business_220,Healthcare,2022-10-26
MERCH221,Business_221,Services,2024-06-08
MERCH222,Business_222,Healthcare,2021-08-13
MERCH223,Business_223,Healthcare,2024-03-12
MERCH224,Business_224,Technology,2023-05-30
MERCH225,Business_225,Retail,2024-01-20
MERCH226,Business_226,Healthcare,2023-12-26
MERCH227,Business_227,Services,2023-11-04
MERCH228,Business_228,Services,2023-07-08
MERCH229,Business_229,Retail,2023-06-23
MERCH230,Business_230,Healthcare,2024-06-26
MERCH231,Business_231,Retail,2021-08-04
MERCH232,Business_232,Education,2021-09-28
MERCH233,Business_233,Retail,2023-12-01
MERCH234,Business_234,Healthcare,2022-02-16
MERCH235,Business_235,Technology,2022-07-21
MERCH236,Business_236,Services,2022-11-25
MERCH237,Business_237,Healthcare,2024-06-04
MERCH238,Business_238,Healthcare,2023-09-30
MERCH239,Business_239,Retail,2021-11-10
MERCH240,Business_240,Technology,2024-05-17
MERCH241,Business_241,Education,2023-09-01
MERCH242,Business_242,Education,2023-07-08
MERCH243,Business_243,Healthcare,2024-01-30
MERCH244,Business_244,Education,2022-04-17
MERCH245,Business_245,Healthcare,2023-03-31
MERCH246,Business_246,Services,2022-04-18
MERCH247,Business_247,Education,2022-06-26
MERCH248,Business_248,Education,2022-12-13
MERCH249,Business_249,Technology,2023-10-16
MERCH250,Business_250,Education,2021-11-06
MERCH251,Business_251,Services,2021-12-25
MERCH252,Business_252,Technology,2024-05-18
MERCH253,Business_253,Healthcare,2023-02-11
MERCH254,Business_254,Technology,2022-09-01
MERCH255,Business_255,Technology,2022-03-25
MERCH256,Business_256,Education,2023-05-01
MERCH257,Business_257,Healthcare,2022-11-10
MERCH258,Business_258,Services,2023-11-14
MERCH259,Business_259,Services,2022-09-05
MERCH260,Business_260,Technology,2021-08-11
MERCH261,Business_261,Retail,2022-01-08
MERCH262,Business_262,Education,2021-12-15
MERCH263,Business_263,Retail,2023-12-13
MERCH264,Business_264,Healthcare,2022-06-30
MERCH265,Business_265,Healthcare,2022-02-16
MERCH266,Business_266,Services,2023-09-30
MERCH267,Business_267,Services,2023-11-10
MERCH268,Business_268,Services,2024-07-01
MERCH269,Business_269,Services,2023-12-20
MERCH270,Business_270,Education,2021-09-03
MERCH271,Business_271,Retail,2024-04-03
MERCH272,Business_272,Healthcare,2023-03-24
MERCH273,Business_273,Education,2021-08-12
MERCH274,Business_274,Retail,2023-02-05
MERCH275,Business_275,Education,2024-03-26
MERCH276,Business_276,Education,2024-01-26
MERCH277,Business_277,Healthcare,2023-07-06
MERCH278,Business_278,Retail,2023-05-09
MERCH279,Business_279,Education,2023-10-01
MERCH280,Business_280,Healthcare,2024-03-15
MERCH281,Business_281,Services,2022-05-08
MERCH282,Business_282,Services,2024-06-29
MERCH283,Business_283,Retail,2022-02-06
MERCH284,Business_284,Technology,2024-04-22
MERCH285,Business_285,Services,2024-01-18
MERCH286,Business_286,Technology,2023-10-09
MERCH287,Business_287,Services,2022-04-05
MERCH288,Business_288,Retail,2022-09-28
MERCH289,Business_289,Healthcare,2022-08-14
MERCH290,Business_290,Retail,2022-12-26
MERCH291,Business_291,Retail,2022-05-17
MERCH292,Business_292,Services,2023-10-03
MERCH293,Business_293,Services,2022-05-23
MERCH294,Business_294,Education,2024-03-17
MERCH295,Business_295,Healthcare,2023-06-27
MERCH296,Business_296,Retail,2022-09-29
MERCH297,Business_297,Education,2022-09-14
MERCH298,Business_298,Retail,2022-12-18
MERCH299,Business_299,Services,2022-01-06
MERCH300,Business_300,Technology,2023-06-13
MERCH301,Business_301,Services,2024-04-07
MERCH302,Business_302,Healthcare,2023-11-16
MERCH303,Business_303,Healthcare,2022-09-14
MERCH304,Business_304,Technology,2021-07-28
MERCH305,Business_305,Services,2022-03-04
MERCH306,Business_306,Technology,2023-12-25
MERCH307,Business_307,Technology,2021-09-14
MERCH308,Business_308,Technology,2022-02-14
MERCH309,Business_309,Healthcare,2024-02-20
MERCH310,Business_310,Technology,2022-08-07
MERCH311,Business_311,Education,2021-10-17
MERCH312,Business_312,Education,2021-10-17
MERCH313,Business_313,Education,2021-08-03
MERCH314,Business_314,Retail,2022-06-12
MERCH315,Business_315,Education,2024-01-21
MERCH316,Business_316,Education,2024-01-13
MERCH317,Business_317,Technology,2021-12-03
MERCH318,Business_318,Healthcare,2024-05-15
MERCH319,Business_319,Healthcare,2021-08-09
MERCH320,Business_320,Services,2023-03-04
MERCH321,Business_321,Healthcare,2022-03-28
MERCH322,Business_322,Healthcare,2022-07-26
MERCH323,Business_323,Retail,2021-08-29
MERCH324,Business_324,Education,2023-10-04
MERCH325,Business_325,Technology,2024-04-08
MERCH326,Business_326,Healthcare,2022-03-03
MERCH327,Business_327,Technology,2023-04-29
MERCH328,Business_328,Healthcare,2022-07-24
MERCH329,Business_329,Healthcare,2023-11-20
MERCH330,Business_330,Healthcare,2022-08-27
MERCH331,Business_331,Technology,2023-11-02
MERCH332,Business_332,Services,2023-11-22
MERCH333,Business_333,Retail,2024-06-14
MERCH334,Business_334,Education,2023-02-24
MERCH335,Business_335,Services,2024-01-17
MERCH336,Business_336,Retail,2023-01-20
MERCH337,Business_337,Healthcare,2022-04-27
MERCH338,Business_338,Retail,2023-07-05
MERCH339,Business_339,Healthcare,2022-10-31
MERCH340,Business_340,Services,2023-05-26
MERCH341,Business_341,Retail,2022-04-14
MERCH342,Business_342,Retail,2023-07-08
MERCH343,Business_343,Healthcare,2023-03-02
MERCH344,Business_344,Healthcare,2021-11-06
MERCH345,Business_345,Education,2024-05-17
MERCH346,Business_346,Services,2023-01-23
MERCH347,Business_347,Services,2021-08-18
MERCH348,Business_348,Technology,2024-02-08
MERCH349,Business_349,Services,2023-01-03
MERCH350,Business_350,Healthcare,2022-03-20
MERCH351,Business_351,Healthcare,2022-01-16
MERCH352,Business_352,Education,2022-05-19
MERCH353,Business_353,Healthcare,2024-06-25
MERCH354,Business_354,Technology,2023-10-19
MERCH355,Business_355,Retail,2022-03-12
MERCH356,Business_356,Services,2021-10-26
MERCH357,Business_357,Technology,2023-07-16
MERCH358,Business_358,Healthcare,2022-02-02
MERCH359,Business_359,Education,2023-11-15
MERCH360,Business_360,Services,2021-12-08
MERCH361,Business_361,Services,2023-10-27
MERCH362,Business_362,Services,2024-05-07
MERCH363,Business_363,Healthcare,2024-01-30
MERCH364,Business_364,Services,2023-02-04
MERCH365,Business_365,Services,2021-12-26
MERCH366,Business_366,Services,2021-08-25
MERCH367,Business_367,Education,2023-07-29
MERCH368,Business_368,Services,2021-10-06
MERCH369,Business_369,Education,2023-09-04
MERCH370,Business_370,Services,2023-05-25
MERCH371,Business_371,Retail,2022-11-19
MERCH372,Business_372,Technology,2023-08-25
MERCH373,Business_373,Healthcare,2022-03-18
MERCH374,Business_374,Education,2021-09-17
MERCH375,Business_375,Healthcare,2023-10-11
MERCH376,Business_376,Healthcare,2024-05-18
MERCH377,Business_377,Services,2022-10-12
MERCH378,Business_378,Services,2022-02-19
MERCH379,Business_379,Retail,2021-09-11
MERCH380,Business_380,Services,2021-07-29
MERCH381,Business_381,Healthcare,2021-11-29
MERCH382,Business_382,Retail,2023-07-08
MERCH383,Business_383,Services,2022-09-03
MERCH384,Business_384,Technology,2022-05-27
MERCH385,Business_385,Services,2023-08-27
MERCH386,Business_386,Education,2022-06-03
MERCH387,Business_387,Services,2022-09-06
MERCH388,Business_388,Services,2024-04-27
MERCH389,Business_389,Services,2022-02-18
MERCH390,Business_390,Retail,2024-04-17
MERCH391,Business_391,Services,2021-11-03
MERCH392,Business_392,Education,2021-11-06
MERCH393,Business_393,Healthcare,2021-09-29
MERCH394,Business_394,Healthcare,2022-03-28
MERCH395,Business_395,Education,2024-03-28
MERCH396,Business_396,Services,2022-03-26
MERCH397,Business_397,Retail,2023-09-21
MERCH398,Business_398,Technology,2023-10-16
MERCH399,Business_399,Services,2023-06-29
MERCH400,Business_400,Education,2022-11-16
MERCH401,Business_401,Education,2021-12-22
MERCH402,Business_402,Retail,2023-12-19
MERCH403,Business_403,Healthcare,2024-05-14
MERCH404,Business_404,Technology,2022-11-17
MERCH405,Business_405,Education,2021-08-04
MERCH406,Business_406,Healthcare,2023-11-20
MERCH407,Business_407,Healthcare,2022-05-16
MERCH408,Business_408,Retail,2022-08-19
MERCH409,Business_409,Healthcare,2021-12-03
MERCH410,Business_410,Retail,2023-04-06
MERCH411,Business_411,Retail,2021-08-26
MERCH412,Business_412,Education,2022-05-13
MERCH413,Business_413,Technology,2021-07-25
MERCH414,Business_414,Healthcare,2021-08-26
MERCH415,Business_415,Retail,2021-11-17
MERCH416,Business_416,Technology,2022-05-19
MERCH417,Business_417,Technology,2021-11-30
MERCH418,Business_418,Services,2024-03-06
MERCH419,Business_419,Healthcare,2023-11-16
MERCH420,Business_420,Services,2022-06-18
MERCH421,Business_421,Services,2024-02-15
MERCH422,Business_422,Services,2022-04-11
MERCH423,Business_423,Technology,2021-08-17
MERCH424,Business_424,Services,2022-11-17
MERCH425,Business_425,Healthcare,2023-08-18
MERCH426,Business_426,Education,2022-11-04
MERCH427,Business_427,Retail,2023-11-06
MERCH428,Business_428,Technology,2021-07-16
MERCH429,Business_429,Services,2021-10-12
MERCH430,Business_430,Retail,2023-10-06
MERCH431,Business_431,Services,2024-06-17
MERCH432,Business_432,Services,2024-02-13
MERCH433,Business_433,Retail,2022-11-22
MERCH434,Business_434,Technology,2021-11-22
MERCH435,Business_435,Education,2021-08-12
MERCH436,Business_436,Technology,2022-06-01
MERCH437,Business_437,Healthcare,2022-09-11
MERCH438,Business_438,Retail,2023-04-23
MERCH439,Business_439,Technology,2024-03-01
MERCH440,Business_440,Technology,2023-11-13
MERCH441,Business_441,Services,2024-03-08
MERCH442,Business_442,Retail,2023-08-05
MERCH443,Business_443,Technology,2022-02-16
MERCH444,Business_444,Education,2023-02-09
MERCH445,Business_445,Healthcare,2023-11-20
MERCH446,Business_446,Retail,2021-10-23
MERCH447,Business_447,Technology,2024-04-18
MERCH448,Business_448,Retail,2022-02-15
MERCH449,Business_449,Retail,2023-06-18
MERCH450,Business_450,Healthcare,2022-08-07
MERCH451,Business_451,Healthcare,2023-11-16
MERCH452,Business_452,Education,2022-04-12
MERCH453,Business_453,Healthcare,2022-03-19
MERCH454,Business_454,Services,2023-12-10
MERCH455,Business_455,Retail,2023-07-19
MERCH456,Business_456,Healthcare,2024-02-18
MERCH457,Business_457,Education,2024-03-13
MERCH458,Business_458,Services,2023-06-04
MERCH459,Business_459,Healthcare,2024-02-07
MERCH460,Business_460,Retail,2024-01-20
MERCH461,Business_461,Healthcare,2023-05-17
MERCH462,Business_462,Services,2024-03-24
MERCH463,Business_463,Services,2024-05-17
MERCH464,Business_464,Education,2022-04-19
MERCH465,Business_465,Retail,2023-09-08
MERCH466,Business_466,Technology,2022-03-28
MERCH467,Business_467,Healthcare,2022-04-27
MERCH468,Business_468,Healthcare,2021-12-30
MERCH469,Business_469,Education,2022-11-16
MERCH470,Business_470,Education,2022-04-30
MERCH471,Business_471,Services,2022-08-13
MERCH472,Business_472,Education,2022-05-23
MERCH473,Business_473,Technology,2022-01-15
MERCH474,Business_474,Services,2022-03-09
MERCH475,Business_475,Services,2024-04-24
MERCH476,Business_476,Healthcare,2021-08-13
MERCH477,Business_477,Technology,2021-08-15
MERCH478,Business_478,Retail,2023-06-20
MERCH479,Business_479,Technology,2024-02-29
MERCH480,Business_480,Healthcare,2021-11-09
MERCH481,Business_481,Retail,2023-08-02
MERCH482,Business_482,Retail,2022-06-01
MERCH483,Business_483,Technology,2023-02-08
MERCH484,Business_484,Services,2022-08-27
MERCH485,Business_485,Services,2022-04-14
MERCH486,Business_486,Retail,2023-03-28
MERCH487,Business_487,Services,2023-05-18
MERCH488,Business_488,Healthcare,2024-06-26
MERCH489,Business_489,Healthcare,2023-06-15
MERCH490,Business_490,Retail,2022-06-22
MERCH491,Business_491,Services,2021-08-08
MERCH492,Business_492,Education,2023-11-21
MERCH493,Business_493,Technology,2022-11-02
MERCH494,Business_494,Healthcare,2021-12-27
MERCH495,Business_495,Technology,2022-12-05
MERCH496,Business_496,Retail,2023-05-21
MERCH497,Business_497,Services,2023-09-15
MERCH498,Business_498,Technology,2023-12-25
MERCH499,Business_499,Education,2022-10-14
MERCH500,Business_500,Education,2022-07-22
MERCH501,Business_501,Retail,2023-08-15
MERCH502,Business_502,Technology,2021-12-08
MERCH503,Business_503,Services,2022-11-18
MERCH504,Business_504,Services,2023-01-16
MERCH505,Business_505,Services,2023-09-03
MERCH506,Business_506,Retail,2023-08-13
MERCH507,Business_507,Technology,2022-07-12
MERCH508,Business_508,Technology,2023-12-15
MERCH509,Business_509,Retail,2023-09-28
MERCH510,Business_510,Retail,2021-08-31
MERCH511,Business_511,Services,2022-07-07
MERCH512,Business_512,Technology,2021-10-04
MERCH513,Business_513,Healthcare,2022-08-17
MERCH514,Business_514,Retail,2022-02-08
MERCH515,Business_515,Retail,2024-06-08
MERCH516,Business_516,Services,2023-07-02
MERCH517,Business_517,Healthcare,2023-03-10
MERCH518,Business_518,Retail,2022-04-07
MERCH519,Business_519,Retail,2023-11-18
MERCH520,Business_520,Education,2023-05-20
MERCH521,Business_521,Technology,2024-02-03
MERCH522,Business_522,Education,2021-07-08
MERCH523,Business_523,Technology,2021-07-28
MERCH524,Business_524,Services,2024-05-31
MERCH525,Business_525,Healthcare,2023-01-20
MERCH526,Business_526,Retail,2022-01-05
MERCH527,Business_527,Education,2022-05-12
MERCH528,Business_528,Services,2022-01-07
MERCH529,Business_529,Education,2022-04-27
MERCH530,Business_530,Education,2024-06-04
MERCH531,Business_531,Education,2021-10-14
MERCH532,Business_532,Education,2022-01-01
MERCH533,Business_533,Education,2023-01-22
MERCH534,Business_534,Healthcare,2022-05-20
MERCH535,Business_535,Services,2021-12-22
MERCH536,Business_536,Healthcare,2022-12-22
MERCH537,Business_537,Healthcare,2022-04-24
MERCH538,Business_538,Education,2022-04-29
MERCH539,Business_539,Education,2024-04-30
MERCH540,Business_540,Education,2023-04-06
MERCH541,Business_541,Services,2022-11-29
MERCH542,Business_542,Technology,2021-12-22
MERCH543,Business_543,Technology,2024-06-05
MERCH544,Business_544,Retail,2022-07-16
MERCH545,Business_545,Healthcare,2022-07-09
MERCH546,Business_546,Education,2021-09-25
MERCH547,Business_547,Services,2021-09-12
MERCH548,Business_548,Education,2022-02-08
MERCH549,Business_549,Retail,2022-01-08
MERCH550,Business_550,Healthcare,2024-04-19
MERCH551,Business_551,Technology,2022-04-07
MERCH552,Business_552,Education,2024-06-27
MERCH553,Business_553,Services,2022-07-16
MERCH554,Business_554,Healthcare,2022-02-24
MERCH555,Business_555,Technology,2021-07-10
MERCH556,Business_556,Education,2022-10-24
MERCH557,Business_557,Healthcare,2023-12-18
MERCH558,Business_558,Technology,2024-03-19
MERCH559,Business_559,Healthcare,2022-08-21
MERCH560,Business_560,Healthcare,2022-07-19
MERCH561,Business_561,Healthcare,2023-08-08
MERCH562,Business_562,Healthcare,2022-12-23
MERCH563,Business_563,Healthcare,2023-11-21
MERCH564,Business_564,Services,2022-03-16
MERCH565,Business_565,Retail,2022-07-17
MERCH566,Business_566,Healthcare,2022-10-11
MERCH567,Business_567,Healthcare,2022-08-12
MERCH568,Business_568,Services,2023-07-07
MERCH569,Business_569,Technology,2023-11-30
MERCH570,Business_570,Services,2022-05-12
MERCH571,Business_571,Healthcare,2023-09-15
MERCH572,Business_572,Education,2024-04-11
MERCH573,Business_573,Retail,2022-11-16
MERCH574,Business_574,Technology,2024-03-17
MERCH575,Business_575,Healthcare,2023-03-03
MERCH576,Business_576,Healthcare,2022-05-16
MERCH577,Business_577,Retail,2023-07-24
MERCH578,Business_578,Education,2021-09-09
MERCH579,Business_579,Healthcare,2023-11-08
MERCH580,Business_580,Education,2023-11-05
MERCH581,Business_581,Technology,2022-08-22
MERCH582,Business_582,Services,2022-09-15
MERCH583,Business_583,Technology,2024-01-02
MERCH584,Business_584,Healthcare,2023-05-21
MERCH585,Business_585,Technology,2023-06-03
MERCH586,Business_586,Technology,2023-03-18
MERCH587,Business_587,Technology,2023-06-07
MERCH588,Business_588,Healthcare,2024-05-09
MERCH589,Business_589,Healthcare,2022-07-02
MERCH590,Business_590,Education,2023-01-20
MERCH591,Business_591,Services,2021-12-21
MERCH592,Business_592,Education,2023-09-08
MERCH593,Business_593,Healthcare,2022-08-11
MERCH594,Business_594,Services,2022-06-11
MERCH595,Business_595,Retail,2022-05-17
MERCH596,Business_596,Services,2022-06-20
MERCH597,Business_597,Services,2023-08-24
MERCH598,Business_598,Technology,2022-06-21
MERCH599,Business_599,Technology,2022-03-24
MERCH600,Business_600,Services,2022-09-19
MERCH601,Business_601,Retail,2024-05-01
MERCH602,Business_602,Services,2023-09-05
MERCH603,Business_603,Technology,2021-07-17
MERCH604,Business_604,Technology,2024-04-22
MERCH605,Business_605,Services,2023-07-25
MERCH606,Business_606,Healthcare,2022-02-20
MERCH607,Business_607,Technology,2022-10-10
MERCH608,Business_608,Services,2023-07-07
MERCH609,Business_609,Healthcare,2022-02-20
MERCH610,Business_610,Education,2022-03-25
MERCH611,Business_611,Education,2021-10-30
MERCH612,Business_612,Services,2022-04-23
MERCH613,Business_613,Retail,2023-07-24
MERCH614,Business_614,Education,2023-05-29
MERCH615,Business_615,Retail,2023-09-24
MERCH616,Business_616,Retail,2023-06-09
MERCH617,Business_617,Technology,2023-12-23
MERCH618,Business_618,Healthcare,2021-12-14
MERCH619,Business_619,Technology,2022-06-27
MERCH620,Business_620,Retail,2023-06-07
MERCH621,Business_621,Education,2021-10-15
MERCH622,Business_622,Technology,2023-06-16
MERCH623,Business_623,Technology,2023-01-22
MERCH624,Business_624,Retail,2023-02-03
MERCH625,Business_625,Retail,2022-11-15
MERCH626,Business_626,Retail,2023-03-28
MERCH627,Business_627,Education,2022-03-15
MERCH628,Business_628,Healthcare,2021-08-07
MERCH629,Business_629,Healthcare,2021-08-14
MERCH630,Business_630,Education,2021-07-08
MERCH631,Business_631,Retail,2023-08-24
MERCH632,Business_632,Services,2024-01-17
MERCH633,Business_633,Services,2022-09-20
